SQLDATE,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,AvgTone
20240823,145,"Union Park, Illinois, United States",41.8839,-87.6648,-3.04696814649578
20240822,145,"Union Park, Illinois, United States",41.8839,-87.6648,0.0
20240820,145,"Union Park, Illinois, United States",41.8839,-87.6648,-4.31965442764578
20240820,145,"Union Park, Illinois, United States",41.8839,-87.6648,-4.31965442764578
20240627,145,"Buckingham Fountain, Illinois, United States",41.8756,-87.6189,-7.05218617771509
20240529,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,-1.47710487444608
20240220,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,-0.28666985188724
20230915,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,-1.96353436185133
20230914,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,-1.96353436185133
20230613,145,"World Trade Center, Illinois, United States",41.8889,-87.6303,0.0
20230613,145,"World Trade Center, Illinois, United States",41.8889,-87.6303,0.0
20230508,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-4.54545454545455
20230320,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,1.30614115490376
20230320,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,1.30614115490376
20230320,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,1.30614115490376
20230320,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,1.30614115490376
20221011,145,"Lincoln Memorial, Illinois, United States",41.877,-87.6217,-5.26315789473684
20220926,145,"World Trade Center, Illinois, United States",41.8889,-87.6303,-4.54545454545455
20220526,145,"Roosevelt University, Illinois, United States",41.8759,-87.6245,-2.95031055900621
20220511,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-8.94736842105264
20220511,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-8.94736842105264
20220306,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-8.11554332874827
20220306,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-8.11554332874827
20220306,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-8.11554332874827
20211130,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-8.6720867208672
20211130,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-8.6720867208672
20211129,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-8.84718498659516
20211129,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-8.84718498659516
20211013,145,"Arrigo Park, Illinois, United States",41.8717,-87.6601,1.06707317073171
20211013,145,"Arrigo Park, Illinois, United States",41.8717,-87.6601,1.06707317073171
20210926,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-1.30963517305893
20210926,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-1.30963517305893
20210721,145,"Willis Tower, Illinois, United States",41.8786,-87.6359,-2.10643015521065
20210416,145,"School Of The Art Institute Of Chicago, Illinois, United States",41.8789,-87.6217,-1.22591943957969
20210108,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-0.95238095238096
20201217,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-1.67973124300112
20201209,145,"Near West Side, Illinois, United States",41.88,-87.6667,-13.8888888888889
20201209,145,"Near West Side, Illinois, United States",41.88,-87.6667,-13.8888888888889
20201120,145,"Near North Side, Illinois, United States",41.9,-87.6345,-10.5263157894737
20201104,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-5.33770734245367
20201104,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-4.16297608503101
20201104,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-5.33770734245367
20201104,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-4.16297608503101
20201002,145,"Rush University Medical Center, Illinois, United States",41.8735,-87.6681,-5.60152768936982
20200919,145,"Near North Side, Illinois, United States",41.9,-87.6345,-13.0434782608696
20200907,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-8.47457627118644
20200903,145,"Harold Washington College, Illinois, United States",41.8861,-87.6267,-1.96531791907515
20200902,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-8.28729281767953
20200902,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-8.28729281767953
20200902,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-8.28729281767953
20200831,145,"Near North Side, Illinois, United States",41.9,-87.6345,-12.3287671232877
20200828,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-2.81548516842634
20200828,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-2.81548516842634
20200817,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.66132723112128
20200817,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.66132723112128
20200817,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.66132723112128
20200817,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.66132723112128
20200816,145,"Near North Side, Illinois, United States",41.9,-87.6345,-8.65384615384615
20200816,145,"Near North Side, Illinois, United States",41.9,-87.6345,-8.65384615384615
20200816,145,"Near North Side, Illinois, United States",41.9,-87.6345,-8.65384615384615
20200815,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.470715835141
20200815,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.470715835141
20200815,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.470715835141
20200815,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-2.88248337028824
20200815,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.470715835141
20200815,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-7.03517587939698
20200815,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-1.3968367117871
20200815,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-2.88248337028824
20200814,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.61525447819102
20200814,145,"Streeterville, Illinois, United States",41.8934,-87.622,-4.18674475498555
20200814,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.61525447819102
20200814,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-2.63157894736842
20200814,145,"Streeterville, Illinois, United States",41.8934,-87.622,-3.49544072948329
20200814,145,"Streeterville, Illinois, United States",41.8934,-87.622,-3.49544072948329
20200814,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.61525447819102
20200814,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-2.63157894736842
20200814,145,"Streeterville, Illinois, United States",41.8934,-87.622,-3.49544072948329
20200814,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-2.63157894736842
20200814,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-2.63157894736842
20200814,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.61525447819102
20200813,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.95409367104194
20200813,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.95409367104194
20200813,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.8825310097746
20200813,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.8825310097746
20200813,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.77539837634817
20200812,145,"Near West Side, Illinois, United States",41.88,-87.6667,-6.80473372781065
20200812,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-5.97658656808379
20200812,145,"Near West Side, Illinois, United States",41.88,-87.6667,-6.80473372781065
20200811,145,"Northwestern Memorial Hospital, Illinois, United States",41.8946,-87.622,-6.79795914550854
20200811,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-9.09100491177774
20200811,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-9.09100491177774
20200811,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-9.09100491177774
20200811,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-5.38745387453875
20200811,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-9.58904109589042
20200811,145,"Northwestern Memorial Hospital, Illinois, United States",41.8946,-87.622,-6.61598026038636
20200811,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-9.09100491177774
20200810,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-5.87583148558759
20200810,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-7.26027397260274
20200810,145,"Near North Side, Illinois, United States",41.9,-87.6345,-7.15250965250965
20200810,145,"Near North Side, Illinois, United States",41.9,-87.6345,-7.14285714285714
20200810,145,"Chicago Theater, Illinois, United States",41.8853,-87.6273,-5.87583148558759
20200810,145,"Northwestern Memorial Hospital, Illinois, United States",41.8946,-87.622,-6.73076923076923
20200810,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-5.46139359698681
20200807,145,"Cornell University, Illinois, United States",41.8803,-87.6326,-4.3640897755611
20200807,145,"Cornell University, Illinois, United States",41.8803,-87.6326,-4.3640897755611
20200803,145,"Chicago City Hall, Illinois, United States",41.8839,-87.632,-6.90010298661174
20200802,145,"Chicago City Hall, Illinois, United States",41.8839,-87.632,-6.90721649484536
20200729,145,"Chicago City Hall, Illinois, United States",41.8839,-87.632,-7.90273556231001
20200724,145,"Arrigo Park, Illinois, United States",41.8717,-87.6601,-5.12882447665057
20200724,145,"Arrigo Park, Illinois, United States",41.8717,-87.6601,-5.38934247293049
20200723,145,"Chicago City Hall, Illinois, United States",41.8839,-87.632,-6.75340946041583
20200722,145,"Chicago City Hall, Illinois, United States",41.8839,-87.632,-7.03228799368485
20200715,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.04449648711943
20200714,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-3.0397653348473
20200710,145,"Herald Square, Illinois, United States",41.887,-87.627,-3.57142857142857
20200622,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-7.50000000000003
20200619,145,"World Trade Center, Illinois, United States",41.8889,-87.6303,-2.08540218470705
20200617,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-12.0285423037717
20200611,145,"Chicago City Hall, Illinois, United States",41.8839,-87.632,-2.97107114933542
20200607,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-4.58015267175572
20200606,145,"Union Park, Illinois, United States",41.8839,-87.6648,-2.78884462151395
20200605,145,"Herald Square, Illinois, United States",41.887,-87.627,-5.58789289871944
20200603,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-4.54545454545455
